id,model_year,model_type,mileage,condition,sale_price,sale_date,source
y00574,,911,,Fair,11930,2021-04-12,https://bringatrailer.com/listing/porsche-brake-calipers/
y00575,1969,911,70000,Fair,79500,2021-04-13,https://bringatrailer.com/listing/1969-porsche-911e-20/
y00576,1986,928,97000,Fair,25750,2021-04-13,https://bringatrailer.com/listing/1986-porsche-928s-62/
y00577,1985,911,54000,Fair,59500,2021-04-13,https://bringatrailer.com/listing/1985-porsche-911-carrera-targa-30/
y00578,2008,Cayman,31000,Fair,30750,2021-04-13,https://bringatrailer.com/listing/2008-porsche-cayman-s-design-edition-1-4/
y00579,2009,911,37000,Fair,33250,2021-04-13,https://bringatrailer.com/listing/2009-porsche-cayenne-gts-32/
y00580,1987,911,96000,Fair,77000,2021-04-14,https://bringatrailer.com/listing/1987-porsche-911-carrera-63/
y00581,1976,930,65000,Fair,107000,2021-04-14,https://bringatrailer.com/listing/1976-porsche-930-turbo-carrera-14-2/
y00582,1999,911,40000,Fair,29000,2021-04-14,https://bringatrailer.com/listing/1999-porsche-911-carrera-187/
y00583,1966,912,17000,Fair,52000,2021-04-14,https://bringatrailer.com/listing/1966-porsche-912-coupe-49/
y00584,1986,911,34000,Fair,67500,2021-04-15,https://bringatrailer.com/listing/1986-porsche-911-carrera-cabriolet-31/
y00585,1998,Boxster,44000,Fair,23250,2021-04-15,https://bringatrailer.com/listing/1998-porsche-boxster-37/
y00586,2008,911,32000,Fair,58911,2021-04-15,https://bringatrailer.com/listing/2008-porsche-911-carrera-s-34/
y00587,2004,Boxster,31000,Fair,28750,2021-04-15,https://bringatrailer.com/listing/2004-porsche-cayenne-turbo-13/
y00588,1995,911,85000,Fair,57000,2021-04-15,https://bringatrailer.com/listing/1995-porsche-911-carrera-cabriolet-54/
y00589,1978,928,62000,Fair,8101,2021-04-15,https://bringatrailer.com/listing/1978-porsche-928-28/
y00590,1999,911,89000,Fair,33333,2021-04-15,https://bringatrailer.com/listing/1999-porsche-911-carrera-188/
y00591,1997,Boxster,9000,Fair,24250,2021-04-16,https://bringatrailer.com/listing/1997-porsche-boxster-33/
y00592,2013,Boxster,21000,Fair,38750,2021-04-16,https://bringatrailer.com/listing/2013-porsche-boxter-13/
y00593,1989,911,48000,Fair,74000,2021-04-16,https://bringatrailer.com/listing/1989-porsche-911-carrera-4-25/
y00594,1960,356,37000,Fair,176000,2021-04-16,https://bringatrailer.com/listing/1960-porsche-356b-cabriolet-10/
y00595,1999,911,73000,Fair,28000,2021-04-17,https://bringatrailer.com/listing/1999-porsche-911-carrera-192/
y00596,1959,356,6100,Fair,102300,2021-04-17,https://bringatrailer.com/listing/1959-porsche-356-1600s-super-coupe-2/
y00597,1970,911,18000,Fair,67000,2021-04-18,https://bringatrailer.com/listing/1970-porsche-911t-coupe-22/
y00598,2000,911,143000,Fair,18500,2021-04-18,https://bringatrailer.com/listing/2000-porsche-911-carrera-125/
y00599,2019,911,1700,Fair,274000,2021-04-18,https://bringatrailer.com/listing/2019-porsche-gt3-rs-weissach-12/
y00600,2003,Boxster,34000,Fair,28000,2021-04-18,https://bringatrailer.com/listing/2003-porsche-boxster-s-22/
y00601,1987,944,91000,Fair,16750,2021-04-18,https://bringatrailer.com/listing/1987-porsche-944s-25/
y00602,2016,Boxster,8000,Fair,80500,2021-04-19,https://bringatrailer.com/listing/2016-porsche-boxter-gts-8/
y00603,2008,Cayman,33000,Fair,26500,2021-04-19,https://bringatrailer.com/listing/2008-porsche-cayman-16/
y00604,1996,911,37000,Fair,184000,2021-04-19,https://bringatrailer.com/listing/1996-porsche-911-turbo-48/
y00605,1962,356,5000,Fair,56500,2021-04-19,https://bringatrailer.com/listing/1962-porsche-356b-22/
y00606,2002,911,46000,Fair,34500,2021-04-20,https://bringatrailer.com/listing/2002-porsche-911-carrera-cabriolet-10/
y00607,2016,Cayman,6000,Fair,90500,2021-04-20,https://bringatrailer.com/listing/2016-porsche-cayman-gt4-57/
y00608,1986,911,30000,Fair,71000,2021-04-20,https://bringatrailer.com/listing/1986-porsche-911-carrera-61/
y00609,2018,911,1300,Fair,335000,2021-04-20,https://bringatrailer.com/listing/2018-porsche-911-gt2-rs-weissach-14/
y00610,1979,930,36000,Fair,162000,2021-04-21,https://bringatrailer.com/listing/1979-porsche-930-turbo-59/
y00611,1995,911,63000,Fair,45000,2021-04-21,https://bringatrailer.com/listing/1995-porsche-911-carrera-91/
y00612,1999,911,27000,Fair,55000,2021-04-21,https://bringatrailer.com/listing/1999-porsche-911-carrera-191/
y00613,1987,911,21000,Fair,86500,2021-04-21,https://bringatrailer.com/listing/1987-porsche-911-carrera-cabriolet-42/
y00614,1988,911,65000,Fair,90000,2021-04-21,https://bringatrailer.com/listing/1988-porsche-911-carrera-89/
y00615,2009,911,17000,Fair,191997,2021-04-21,https://bringatrailer.com/listing/2009-porsche-911-gt2-2/
y00616,2006,911,35000,Fair,51500,2021-04-21,https://bringatrailer.com/listing/2006-porsche-911-carrera-s-cabriolet-17/
y00617,1965,912,42000,Fair,28200,2021-04-21,https://bringatrailer.com/listing/1965-porsche-912-coupe-17/
y00618,1984,928,93000,Fair,29000,2021-04-21,https://bringatrailer.com/listing/1984-porsche-928s-46/
y00619,2008,Boxster,59000,Fair,24000,2021-04-21,https://bringatrailer.com/listing/2008-porsche-boxster-10/
y00620,1993,968,43000,Fair,27900,2021-04-22,https://bringatrailer.com/listing/1994-porsche-968-29/
y00621,1991,911,76000,Fair,58000,2021-04-22,https://bringatrailer.com/listing/1991-porsche-911-carrera-2-43/
y00622,1986,944,54000,Fair,13750,2021-04-22,https://bringatrailer.com/listing/1986-porsche-944-55/
y00623,2000,Boxster,13000,Fair,20500,2021-04-22,https://bringatrailer.com/listing/2000-porsche-boxster-36/
y00624,2001,911,34000,Fair,36500,2021-04-22,https://bringatrailer.com/listing/2001-porsche-911-carrera-cabriolet-30/
y00625,1963,356,26000,Fair,133000,2021-04-22,https://bringatrailer.com/listing/1964-porsche-356sc-coupe-15/
y00626,2001,911,33000,Fair,63500,2021-04-22,https://bringatrailer.com/listing/2001-porsche-911-turbo-127/
y00627,1981,924,500,Excellent,261000,2021-04-23,https://bringatrailer.com/listing/1981-porsche-924-gts-club-sport/
y00628,2008,911,38000,Fair,84500,2021-04-23,https://bringatrailer.com/listing/2008-porsche-911-turbo-25/
y00629,1988,911,27000,Fair,100000,2021-04-23,https://bringatrailer.com/listing/1988-porsche-911-carrera-88/
y00630,2018,911,930,Fair,230000,2021-04-23,https://bringatrailer.com/listing/2018-porsche-gt3-touring-11/
y00631,2002,911,60000,Fair,30250,2021-04-23,https://bringatrailer.com/listing/2002-porsche-911-carrera-4-cabriolet-21/
y00632,2014,911,40000,Fair,69500,2021-04-23,https://bringatrailer.com/listing/2014-porsche-911-69/
y00633,2004,911,28000,Fair,65000,2021-04-23,https://bringatrailer.com/listing/2004-porsche-911-turbo-cabriolet-56/
y00634,1997,Boxster,9000,Fair,19500,2021-04-23,https://bringatrailer.com/listing/1997-porsche-boxster-31/
y00635,2009,911,90000,Fair,39000,2021-04-23,https://bringatrailer.com/listing/2009-porsche-911-carrera-cabriolet-5/
y00636,2008,Cayman,42000,Fair,30500,2021-04-23,https://bringatrailer.com/listing/2008-porsche-cayman-17/
y00637,2003,911,94000,Fair,28000,2021-04-24,https://bringatrailer.com/listing/2003-porsche-911-carrera-targa-2/
y00638,2001,911,104000,Fair,33500,2021-04-24,https://bringatrailer.com/listing/2001-porsche-911-turbo-125/
y00639,1971,914,10000,Fair,42000,2021-04-24,https://bringatrailer.com/listing/1971-porsche-914-6-11/
y00640,1993,911,34000,Fair,75964,2021-04-24,https://bringatrailer.com/listing/1993-porsche-911-america-roadster/
y00641,2000,911,86000,Fair,21750,2021-04-24,https://bringatrailer.com/listing/2000-porsche-911-carrera-124/
y00642,2007,911,8000,Fair,200000,2021-04-24,https://bringatrailer.com/listing/2007-porsche-gt3-rs-26/
y00643,1972,914,79000,Fair,30001,2021-04-25,https://bringatrailer.com/listing/1972-porsche-914-38/
y00644,1988,911,147000,Fair,70000,2021-04-25,https://bringatrailer.com/listing/1988-porsche-911-carrera-87/
y00645,,550,,Fair,5100,2021-04-25,https://bringatrailer.com/listing/original-porsche-550-literature-and-parts-lot/
y00646,1971,911,78000,Fair,176000,2021-04-26,https://bringatrailer.com/listing/1971-porsche-911e-19/
y00647,1999,911,66000,Fair,31500,2021-04-26,https://bringatrailer.com/listing/1999-porsche-911-carrera-4-28/
y00648,2006,Cayman,58000,Fair,32000,2021-04-26,https://bringatrailer.com/listing/2006-porsche-cayman-s-92/
y00649,1973,911,77000,Fair,140000,2021-04-26,https://bringatrailer.com/listing/1973-porsche-911t-targa-24/
y00650,2005,Boxster,49000,Fair,22300,2021-04-26,https://bringatrailer.com/listing/2005-porsche-boxster-s-27/
y00651,1975,911,81000,Fair,48000,2021-04-27,https://bringatrailer.com/listing/1975-porsche-911-carrera-targa-2/
y00652,1984,911,28000,Fair,68500,2021-04-27,https://bringatrailer.com/listing/1984-porsche-911-carrera-70/
y00653,1984,944,68000,Fair,13250,2021-04-27,https://bringatrailer.com/listing/1984-porsche-944-72/
y00654,1996,911,39000,Fair,55550,2021-04-27,https://bringatrailer.com/listing/1996-porsche-993-911-c4-cabriolet/
y00655,2007,911,28000,Fair,54500,2021-04-27,https://bringatrailer.com/listing/2007-porsche-911-carrera-s-55/
y00656,,911,,Fair,12500,2021-04-28,https://bringatrailer.com/listing/no-reserve-porsche-factory-racecar-library-for-racing-cars-934-935-1973-28-rsr-1974-3-0-rsr-iroc-3-0-rsr-956-962-962-group-c-speedometer-for-1973-911-rs/
y00657,2011,911,32000,Fair,120000,2021-04-28,https://bringatrailer.com/listing/2011-porsche-911-gt3-6/
y00658,2008,911,87000,Fair,44750,2021-04-28,https://bringatrailer.com/listing/2008-porsche-911-carrera-s-cabriolet-15/
y00659,1988,928,150000,Fair,33000,2021-04-28,https://bringatrailer.com/listing/1988-porsche-928-s4-65/
y00660,1962,356,6000,Fair,163000,2021-04-28,https://bringatrailer.com/listing/1962-porsche-356b-cabriolet-9/
y00661,1994,968,78000,Fair,12000,2021-04-28,https://bringatrailer.com/listing/1994-porsche-968-cabriolet-29/
y00662,1995,911,124000,Fair,33300,2021-04-28,https://bringatrailer.com/listing/1995-porsche-911-carrera-cabriolet-53/
y00663,2007,911,31000,Fair,55000,2021-04-28,https://bringatrailer.com/listing/2007-porsche-911-carrera-4s-39/
y00664,1965,911,400,Fair,199911,2021-04-29,https://bringatrailer.com/listing/1965-porsche-911-coupe-17/
y00665,1985,911,94000,Fair,82000,2021-04-29,https://bringatrailer.com/listing/1985-porsche-911-carrera-78/
y00666,1987,911,53000,Fair,70000,2021-04-29,https://bringatrailer.com/listing/1987-porsche-911-carrera-cabriolet-43/
y00667,2008,911,58000,Fair,41750,2021-04-29,https://bringatrailer.com/listing/2008-porsche-911-carrera-4-cabriolet-2/
y00668,2000,Boxster,19000,Fair,21000,2021-04-29,https://bringatrailer.com/listing/2000-porsche-boxster-37/
y00669,2002,911,37000,Fair,72996,2021-04-29,https://bringatrailer.com/listing/2002-porsche-911-turbo-113/
y00670,2007,911,69000,Fair,57000,2021-04-29,https://bringatrailer.com/listing/2007-porsche-911-targa-4s-10/
y00671,2007,Cayman,15000,Fair,30750,2021-04-29,https://bringatrailer.com/listing/2007-porsche-cayman-30/
y00672,2003,Boxster,59000,Fair,22250,2021-04-29,https://bringatrailer.com/listing/2003-porsche-boxster-27/
y00673,1976,914,47000,Fair,60500,2021-04-30,https://bringatrailer.com/listing/1976-porsche-914-38/
y00674,2006,911,33000,Fair,70000,2021-04-30,https://bringatrailer.com/listing/2006-porsche-911-carrera-s-cabriolet-18/
y00675,1987,944,212000,Fair,29250,2021-04-30,https://bringatrailer.com/listing/1987-porsche-944-turbo-79/
